feature,target,cloud_ratio
D:\ITMO\senne\competition\data\train_features\dufg,D:\ITMO\senne\competition\data\train_labels\dufg.tif,0.0
D:\ITMO\senne\competition\data\train_features\qsva,D:\ITMO\senne\competition\data\train_labels\qsva.tif,0.994
D:\ITMO\senne\competition\data\train_features\alht,D:\ITMO\senne\competition\data\train_labels\alht.tif,0.0
D:\ITMO\senne\competition\data\train_features\vgre,D:\ITMO\senne\competition\data\train_labels\vgre.tif,0.832
D:\ITMO\senne\competition\data\train_features\xqxh,D:\ITMO\senne\competition\data\train_labels\xqxh.tif,0.223
D:\ITMO\senne\competition\data\train_features\sngq,D:\ITMO\senne\competition\data\train_labels\sngq.tif,0.299
D:\ITMO\senne\competition\data\train_features\phli,D:\ITMO\senne\competition\data\train_labels\phli.tif,1.0
D:\ITMO\senne\competition\data\train_features\tjgl,D:\ITMO\senne\competition\data\train_labels\tjgl.tif,1.0
D:\ITMO\senne\competition\data\train_features\xbzr,D:\ITMO\senne\competition\data\train_labels\xbzr.tif,0.045
D:\ITMO\senne\competition\data\train_features\daoe,D:\ITMO\senne\competition\data\train_labels\daoe.tif,0.837
D:\ITMO\senne\competition\data\train_features\vgrx,D:\ITMO\senne\competition\data\train_labels\vgrx.tif,1.0
D:\ITMO\senne\competition\data\train_features\augb,D:\ITMO\senne\competition\data\train_labels\augb.tif,1.0
D:\ITMO\senne\competition\data\train_features\giii,D:\ITMO\senne\competition\data\train_labels\giii.tif,1.0
D:\ITMO\senne\competition\data\train_features\jezf,D:\ITMO\senne\competition\data\train_labels\jezf.tif,0.552
D:\ITMO\senne\competition\data\train_features\ycdp,D:\ITMO\senne\competition\data\train_labels\ycdp.tif,1.0
D:\ITMO\senne\competition\data\train_features\ezwm,D:\ITMO\senne\competition\data\train_labels\ezwm.tif,0.486
D:\ITMO\senne\competition\data\train_features\cknr,D:\ITMO\senne\competition\data\train_labels\cknr.tif,0.15
D:\ITMO\senne\competition\data\train_features\xftw,D:\ITMO\senne\competition\data\train_labels\xftw.tif,0.122
D:\ITMO\senne\competition\data\train_features\clhc,D:\ITMO\senne\competition\data\train_labels\clhc.tif,0.025
D:\ITMO\senne\competition\data\train_features\vuuq,D:\ITMO\senne\competition\data\train_labels\vuuq.tif,0.556
D:\ITMO\senne\competition\data\train_features\waso,D:\ITMO\senne\competition\data\train_labels\waso.tif,1.0
D:\ITMO\senne\competition\data\train_features\mrgg,D:\ITMO\senne\competition\data\train_labels\mrgg.tif,0.792
D:\ITMO\senne\competition\data\train_features\xfih,D:\ITMO\senne\competition\data\train_labels\xfih.tif,0.379
D:\ITMO\senne\competition\data\train_features\jdkr,D:\ITMO\senne\competition\data\train_labels\jdkr.tif,0.394
D:\ITMO\senne\competition\data\train_features\xqcn,D:\ITMO\senne\competition\data\train_labels\xqcn.tif,0.062
D:\ITMO\senne\competition\data\train_features\pdrv,D:\ITMO\senne\competition\data\train_labels\pdrv.tif,0.986
D:\ITMO\senne\competition\data\train_features\qrqd,D:\ITMO\senne\competition\data\train_labels\qrqd.tif,0.644
D:\ITMO\senne\competition\data\train_features\kvul,D:\ITMO\senne\competition\data\train_labels\kvul.tif,0.185
D:\ITMO\senne\competition\data\train_features\whrq,D:\ITMO\senne\competition\data\train_labels\whrq.tif,1.0
D:\ITMO\senne\competition\data\train_features\autd,D:\ITMO\senne\competition\data\train_labels\autd.tif,0.861
D:\ITMO\senne\competition\data\train_features\ivjs,D:\ITMO\senne\competition\data\train_labels\ivjs.tif,0.139
D:\ITMO\senne\competition\data\train_features\ckhd,D:\ITMO\senne\competition\data\train_labels\ckhd.tif,0.0
D:\ITMO\senne\competition\data\train_features\socs,D:\ITMO\senne\competition\data\train_labels\socs.tif,1.0
D:\ITMO\senne\competition\data\train_features\slse,D:\ITMO\senne\competition\data\train_labels\slse.tif,0.855
D:\ITMO\senne\competition\data\train_features\rruk,D:\ITMO\senne\competition\data\train_labels\rruk.tif,0.9
D:\ITMO\senne\competition\data\train_features\dpmt,D:\ITMO\senne\competition\data\train_labels\dpmt.tif,1.0
D:\ITMO\senne\competition\data\train_features\cmhc,D:\ITMO\senne\competition\data\train_labels\cmhc.tif,0.033
D:\ITMO\senne\competition\data\train_features\asak,D:\ITMO\senne\competition\data\train_labels\asak.tif,0.56
D:\ITMO\senne\competition\data\train_features\fnkt,D:\ITMO\senne\competition\data\train_labels\fnkt.tif,0.0
D:\ITMO\senne\competition\data\train_features\bybt,D:\ITMO\senne\competition\data\train_labels\bybt.tif,1.0
D:\ITMO\senne\competition\data\train_features\uqrv,D:\ITMO\senne\competition\data\train_labels\uqrv.tif,0.455
D:\ITMO\senne\competition\data\train_features\hpoy,D:\ITMO\senne\competition\data\train_labels\hpoy.tif,0.864
D:\ITMO\senne\competition\data\train_features\dmig,D:\ITMO\senne\competition\data\train_labels\dmig.tif,0.0
D:\ITMO\senne\competition\data\train_features\zcxc,D:\ITMO\senne\competition\data\train_labels\zcxc.tif,0.412
D:\ITMO\senne\competition\data\train_features\tgyi,D:\ITMO\senne\competition\data\train_labels\tgyi.tif,1.0
D:\ITMO\senne\competition\data\train_features\plqe,D:\ITMO\senne\competition\data\train_labels\plqe.tif,1.0
D:\ITMO\senne\competition\data\train_features\ivur,D:\ITMO\senne\competition\data\train_labels\ivur.tif,0.181
D:\ITMO\senne\competition\data\train_features\xtme,D:\ITMO\senne\competition\data\train_labels\xtme.tif,0.704
D:\ITMO\senne\competition\data\train_features\lpyd,D:\ITMO\senne\competition\data\train_labels\lpyd.tif,0.092
D:\ITMO\senne\competition\data\train_features\kzmk,D:\ITMO\senne\competition\data\train_labels\kzmk.tif,1.0
D:\ITMO\senne\competition\data\train_features\exqn,D:\ITMO\senne\competition\data\train_labels\exqn.tif,0.622
D:\ITMO\senne\competition\data\train_features\ssda,D:\ITMO\senne\competition\data\train_labels\ssda.tif,1.0
D:\ITMO\senne\competition\data\train_features\tilt,D:\ITMO\senne\competition\data\train_labels\tilt.tif,1.0
D:\ITMO\senne\competition\data\train_features\nbpp,D:\ITMO\senne\competition\data\train_labels\nbpp.tif,0.122
D:\ITMO\senne\competition\data\train_features\ewcf,D:\ITMO\senne\competition\data\train_labels\ewcf.tif,0.997
D:\ITMO\senne\competition\data\train_features\alcb,D:\ITMO\senne\competition\data\train_labels\alcb.tif,0.26
D:\ITMO\senne\competition\data\train_features\dget,D:\ITMO\senne\competition\data\train_labels\dget.tif,1.0
D:\ITMO\senne\competition\data\train_features\xkoh,D:\ITMO\senne\competition\data\train_labels\xkoh.tif,0.881
D:\ITMO\senne\competition\data\train_features\zceb,D:\ITMO\senne\competition\data\train_labels\zceb.tif,0.107
D:\ITMO\senne\competition\data\train_features\wsul,D:\ITMO\senne\competition\data\train_labels\wsul.tif,0.431
D:\ITMO\senne\competition\data\train_features\smbd,D:\ITMO\senne\competition\data\train_labels\smbd.tif,0.857
D:\ITMO\senne\competition\data\train_features\ckqs,D:\ITMO\senne\competition\data\train_labels\ckqs.tif,0.51
D:\ITMO\senne\competition\data\train_features\stdx,D:\ITMO\senne\competition\data\train_labels\stdx.tif,1.0
D:\ITMO\senne\competition\data\train_features\iwsg,D:\ITMO\senne\competition\data\train_labels\iwsg.tif,0.508
D:\ITMO\senne\competition\data\train_features\bvil,D:\ITMO\senne\competition\data\train_labels\bvil.tif,0.927
D:\ITMO\senne\competition\data\train_features\pjal,D:\ITMO\senne\competition\data\train_labels\pjal.tif,1.0
D:\ITMO\senne\competition\data\train_features\xnqs,D:\ITMO\senne\competition\data\train_labels\xnqs.tif,0.623
D:\ITMO\senne\competition\data\train_features\lawp,D:\ITMO\senne\competition\data\train_labels\lawp.tif,1.0
D:\ITMO\senne\competition\data\train_features\ydvj,D:\ITMO\senne\competition\data\train_labels\ydvj.tif,1.0
D:\ITMO\senne\competition\data\train_features\dups,D:\ITMO\senne\competition\data\train_labels\dups.tif,0.237
D:\ITMO\senne\competition\data\train_features\xcfp,D:\ITMO\senne\competition\data\train_labels\xcfp.tif,0.78
D:\ITMO\senne\competition\data\train_features\ezvu,D:\ITMO\senne\competition\data\train_labels\ezvu.tif,0.0
D:\ITMO\senne\competition\data\train_features\ktvz,D:\ITMO\senne\competition\data\train_labels\ktvz.tif,0.999
D:\ITMO\senne\competition\data\train_features\ijfr,D:\ITMO\senne\competition\data\train_labels\ijfr.tif,0.095
D:\ITMO\senne\competition\data\train_features\vqoy,D:\ITMO\senne\competition\data\train_labels\vqoy.tif,0.994
D:\ITMO\senne\competition\data\train_features\cdni,D:\ITMO\senne\competition\data\train_labels\cdni.tif,0.341
D:\ITMO\senne\competition\data\train_features\xglt,D:\ITMO\senne\competition\data\train_labels\xglt.tif,0.536
D:\ITMO\senne\competition\data\train_features\dpfr,D:\ITMO\senne\competition\data\train_labels\dpfr.tif,0.047
D:\ITMO\senne\competition\data\train_features\ggov,D:\ITMO\senne\competition\data\train_labels\ggov.tif,0.542
D:\ITMO\senne\competition\data\train_features\ggtr,D:\ITMO\senne\competition\data\train_labels\ggtr.tif,1.0
D:\ITMO\senne\competition\data\train_features\ydhw,D:\ITMO\senne\competition\data\train_labels\ydhw.tif,1.0
D:\ITMO\senne\competition\data\train_features\tigw,D:\ITMO\senne\competition\data\train_labels\tigw.tif,1.0
D:\ITMO\senne\competition\data\train_features\bzsk,D:\ITMO\senne\competition\data\train_labels\bzsk.tif,0.09
D:\ITMO\senne\competition\data\train_features\fmji,D:\ITMO\senne\competition\data\train_labels\fmji.tif,0.896
D:\ITMO\senne\competition\data\train_features\fnkw,D:\ITMO\senne\competition\data\train_labels\fnkw.tif,1.0
D:\ITMO\senne\competition\data\train_features\yinf,D:\ITMO\senne\competition\data\train_labels\yinf.tif,1.0
D:\ITMO\senne\competition\data\train_features\lckd,D:\ITMO\senne\competition\data\train_labels\lckd.tif,0.006
D:\ITMO\senne\competition\data\train_features\yacf,D:\ITMO\senne\competition\data\train_labels\yacf.tif,1.0
D:\ITMO\senne\competition\data\train_features\lbin,D:\ITMO\senne\competition\data\train_labels\lbin.tif,0.56
D:\ITMO\senne\competition\data\train_features\wcyd,D:\ITMO\senne\competition\data\train_labels\wcyd.tif,1.0
D:\ITMO\senne\competition\data\train_features\lzst,D:\ITMO\senne\competition\data\train_labels\lzst.tif,0.879
D:\ITMO\senne\competition\data\train_features\kzif,D:\ITMO\senne\competition\data\train_labels\kzif.tif,0.562
D:\ITMO\senne\competition\data\train_features\lraz,D:\ITMO\senne\competition\data\train_labels\lraz.tif,0.841
D:\ITMO\senne\competition\data\train_features\ltqr,D:\ITMO\senne\competition\data\train_labels\ltqr.tif,0.154
D:\ITMO\senne\competition\data\train_features\lvdy,D:\ITMO\senne\competition\data\train_labels\lvdy.tif,0.989
D:\ITMO\senne\competition\data\train_features\xrgu,D:\ITMO\senne\competition\data\train_labels\xrgu.tif,0.019
D:\ITMO\senne\competition\data\train_features\ngbi,D:\ITMO\senne\competition\data\train_labels\ngbi.tif,0.952
D:\ITMO\senne\competition\data\train_features\qsag,D:\ITMO\senne\competition\data\train_labels\qsag.tif,0.932
D:\ITMO\senne\competition\data\train_features\siqv,D:\ITMO\senne\competition\data\train_labels\siqv.tif,0.989
D:\ITMO\senne\competition\data\train_features\lcxd,D:\ITMO\senne\competition\data\train_labels\lcxd.tif,1.0
D:\ITMO\senne\competition\data\train_features\sbfw,D:\ITMO\senne\competition\data\train_labels\sbfw.tif,0.0
D:\ITMO\senne\competition\data\train_features\snjy,D:\ITMO\senne\competition\data\train_labels\snjy.tif,0.97
D:\ITMO\senne\competition\data\train_features\cqdl,D:\ITMO\senne\competition\data\train_labels\cqdl.tif,1.0
D:\ITMO\senne\competition\data\train_features\waif,D:\ITMO\senne\competition\data\train_labels\waif.tif,1.0
D:\ITMO\senne\competition\data\train_features\mogr,D:\ITMO\senne\competition\data\train_labels\mogr.tif,0.173
D:\ITMO\senne\competition\data\train_features\emvh,D:\ITMO\senne\competition\data\train_labels\emvh.tif,1.0
D:\ITMO\senne\competition\data\train_features\yhos,D:\ITMO\senne\competition\data\train_labels\yhos.tif,0.0
D:\ITMO\senne\competition\data\train_features\eypb,D:\ITMO\senne\competition\data\train_labels\eypb.tif,0.736
D:\ITMO\senne\competition\data\train_features\pcsg,D:\ITMO\senne\competition\data\train_labels\pcsg.tif,0.442
D:\ITMO\senne\competition\data\train_features\bvik,D:\ITMO\senne\competition\data\train_labels\bvik.tif,1.0
D:\ITMO\senne\competition\data\train_features\guce,D:\ITMO\senne\competition\data\train_labels\guce.tif,0.977
D:\ITMO\senne\competition\data\train_features\xbby,D:\ITMO\senne\competition\data\train_labels\xbby.tif,0.687
D:\ITMO\senne\competition\data\train_features\vcbw,D:\ITMO\senne\competition\data\train_labels\vcbw.tif,0.295
D:\ITMO\senne\competition\data\train_features\cqzg,D:\ITMO\senne\competition\data\train_labels\cqzg.tif,1.0
D:\ITMO\senne\competition\data\train_features\snls,D:\ITMO\senne\competition\data\train_labels\snls.tif,1.0
D:\ITMO\senne\competition\data\train_features\dprs,D:\ITMO\senne\competition\data\train_labels\dprs.tif,0.284
D:\ITMO\senne\competition\data\train_features\cqik,D:\ITMO\senne\competition\data\train_labels\cqik.tif,0.889
D:\ITMO\senne\competition\data\train_features\crae,D:\ITMO\senne\competition\data\train_labels\crae.tif,1.0
D:\ITMO\senne\competition\data\train_features\ezhw,D:\ITMO\senne\competition\data\train_labels\ezhw.tif,0.491
D:\ITMO\senne\competition\data\train_features\xmic,D:\ITMO\senne\competition\data\train_labels\xmic.tif,0.649
D:\ITMO\senne\competition\data\train_features\qsgs,D:\ITMO\senne\competition\data\train_labels\qsgs.tif,0.991
D:\ITMO\senne\competition\data\train_features\pigo,D:\ITMO\senne\competition\data\train_labels\pigo.tif,0.341
D:\ITMO\senne\competition\data\train_features\nftm,D:\ITMO\senne\competition\data\train_labels\nftm.tif,0.221
D:\ITMO\senne\competition\data\train_features\avjy,D:\ITMO\senne\competition\data\train_labels\avjy.tif,0.556
D:\ITMO\senne\competition\data\train_features\qzja,D:\ITMO\senne\competition\data\train_labels\qzja.tif,0.072
D:\ITMO\senne\competition\data\train_features\vrbn,D:\ITMO\senne\competition\data\train_labels\vrbn.tif,0.0
D:\ITMO\senne\competition\data\train_features\vvej,D:\ITMO\senne\competition\data\train_labels\vvej.tif,0.518
D:\ITMO\senne\competition\data\train_features\xpip,D:\ITMO\senne\competition\data\train_labels\xpip.tif,0.658
D:\ITMO\senne\competition\data\train_features\obsw,D:\ITMO\senne\competition\data\train_labels\obsw.tif,0.536
D:\ITMO\senne\competition\data\train_features\enjh,D:\ITMO\senne\competition\data\train_labels\enjh.tif,1.0
D:\ITMO\senne\competition\data\train_features\vvuo,D:\ITMO\senne\competition\data\train_labels\vvuo.tif,0.654
D:\ITMO\senne\competition\data\train_features\xmkl,D:\ITMO\senne\competition\data\train_labels\xmkl.tif,0.994
D:\ITMO\senne\competition\data\train_features\kxgj,D:\ITMO\senne\competition\data\train_labels\kxgj.tif,0.0
D:\ITMO\senne\competition\data\train_features\mpoh,D:\ITMO\senne\competition\data\train_labels\mpoh.tif,0.698
D:\ITMO\senne\competition\data\train_features\odbk,D:\ITMO\senne\competition\data\train_labels\odbk.tif,0.439
D:\ITMO\senne\competition\data\train_features\yrxt,D:\ITMO\senne\competition\data\train_labels\yrxt.tif,0.0
D:\ITMO\senne\competition\data\train_features\kxqr,D:\ITMO\senne\competition\data\train_labels\kxqr.tif,0.0
D:\ITMO\senne\competition\data\train_features\pgmq,D:\ITMO\senne\competition\data\train_labels\pgmq.tif,0.386
D:\ITMO\senne\competition\data\train_features\cnik,D:\ITMO\senne\competition\data\train_labels\cnik.tif,1.0
D:\ITMO\senne\competition\data\train_features\bghy,D:\ITMO\senne\competition\data\train_labels\bghy.tif,1.0
D:\ITMO\senne\competition\data\train_features\kxjk,D:\ITMO\senne\competition\data\train_labels\kxjk.tif,0.511
D:\ITMO\senne\competition\data\train_features\laxa,D:\ITMO\senne\competition\data\train_labels\laxa.tif,0.417
D:\ITMO\senne\competition\data\train_features\ynmm,D:\ITMO\senne\competition\data\train_labels\ynmm.tif,1.0
D:\ITMO\senne\competition\data\train_features\xexq,D:\ITMO\senne\competition\data\train_labels\xexq.tif,0.336
D:\ITMO\senne\competition\data\train_features\naqe,D:\ITMO\senne\competition\data\train_labels\naqe.tif,0.435
D:\ITMO\senne\competition\data\train_features\emtq,D:\ITMO\senne\competition\data\train_labels\emtq.tif,0.989
D:\ITMO\senne\competition\data\train_features\avvu,D:\ITMO\senne\competition\data\train_labels\avvu.tif,0.521
D:\ITMO\senne\competition\data\train_features\bugb,D:\ITMO\senne\competition\data\train_labels\bugb.tif,0.811
D:\ITMO\senne\competition\data\train_features\ltnx,D:\ITMO\senne\competition\data\train_labels\ltnx.tif,1.0
D:\ITMO\senne\competition\data\train_features\ckya,D:\ITMO\senne\competition\data\train_labels\ckya.tif,0.011
D:\ITMO\senne\competition\data\train_features\qrhh,D:\ITMO\senne\competition\data\train_labels\qrhh.tif,0.955
D:\ITMO\senne\competition\data\train_features\sowb,D:\ITMO\senne\competition\data\train_labels\sowb.tif,0.227
D:\ITMO\senne\competition\data\train_features\gjws,D:\ITMO\senne\competition\data\train_labels\gjws.tif,0.437
D:\ITMO\senne\competition\data\train_features\spxd,D:\ITMO\senne\competition\data\train_labels\spxd.tif,1.0
D:\ITMO\senne\competition\data\train_features\xqui,D:\ITMO\senne\competition\data\train_labels\xqui.tif,1.0
D:\ITMO\senne\competition\data\train_features\vwlq,D:\ITMO\senne\competition\data\train_labels\vwlq.tif,0.713
D:\ITMO\senne\competition\data\train_features\mene,D:\ITMO\senne\competition\data\train_labels\mene.tif,0.987
D:\ITMO\senne\competition\data\train_features\zbly,D:\ITMO\senne\competition\data\train_labels\zbly.tif,0.043
D:\ITMO\senne\competition\data\train_features\qrse,D:\ITMO\senne\competition\data\train_labels\qrse.tif,0.278
D:\ITMO\senne\competition\data\train_features\ajbl,D:\ITMO\senne\competition\data\train_labels\ajbl.tif,1.0
D:\ITMO\senne\competition\data\train_features\ldxd,D:\ITMO\senne\competition\data\train_labels\ldxd.tif,1.0
D:\ITMO\senne\competition\data\train_features\zwnd,D:\ITMO\senne\competition\data\train_labels\zwnd.tif,0.755
D:\ITMO\senne\competition\data\train_features\dkos,D:\ITMO\senne\competition\data\train_labels\dkos.tif,1.0
D:\ITMO\senne\competition\data\train_features\loqz,D:\ITMO\senne\competition\data\train_labels\loqz.tif,0.351
D:\ITMO\senne\competition\data\train_features\xobk,D:\ITMO\senne\competition\data\train_labels\xobk.tif,0.071
D:\ITMO\senne\competition\data\train_features\wctq,D:\ITMO\senne\competition\data\train_labels\wctq.tif,0.223
D:\ITMO\senne\competition\data\train_features\jcom,D:\ITMO\senne\competition\data\train_labels\jcom.tif,0.188
D:\ITMO\senne\competition\data\train_features\rsuo,D:\ITMO\senne\competition\data\train_labels\rsuo.tif,1.0
D:\ITMO\senne\competition\data\train_features\dlob,D:\ITMO\senne\competition\data\train_labels\dlob.tif,1.0
D:\ITMO\senne\competition\data\train_features\kgvr,D:\ITMO\senne\competition\data\train_labels\kgvr.tif,0.683
D:\ITMO\senne\competition\data\train_features\lulw,D:\ITMO\senne\competition\data\train_labels\lulw.tif,0.986
D:\ITMO\senne\competition\data\train_features\asvo,D:\ITMO\senne\competition\data\train_labels\asvo.tif,0.316
D:\ITMO\senne\competition\data\train_features\xuxw,D:\ITMO\senne\competition\data\train_labels\xuxw.tif,0.22
D:\ITMO\senne\competition\data\train_features\tjya,D:\ITMO\senne\competition\data\train_labels\tjya.tif,0.068
D:\ITMO\senne\competition\data\train_features\gpqw,D:\ITMO\senne\competition\data\train_labels\gpqw.tif,0.401
D:\ITMO\senne\competition\data\train_features\asxc,D:\ITMO\senne\competition\data\train_labels\asxc.tif,0.681
D:\ITMO\senne\competition\data\train_features\enbh,D:\ITMO\senne\competition\data\train_labels\enbh.tif,0.745
D:\ITMO\senne\competition\data\train_features\rwqk,D:\ITMO\senne\competition\data\train_labels\rwqk.tif,1.0
D:\ITMO\senne\competition\data\train_features\wdlb,D:\ITMO\senne\competition\data\train_labels\wdlb.tif,0.744
D:\ITMO\senne\competition\data\train_features\jwvz,D:\ITMO\senne\competition\data\train_labels\jwvz.tif,1.0
D:\ITMO\senne\competition\data\train_features\dmxw,D:\ITMO\senne\competition\data\train_labels\dmxw.tif,0.006
D:\ITMO\senne\competition\data\train_features\bhqn,D:\ITMO\senne\competition\data\train_labels\bhqn.tif,1.0
D:\ITMO\senne\competition\data\train_features\xrtc,D:\ITMO\senne\competition\data\train_labels\xrtc.tif,1.0
D:\ITMO\senne\competition\data\train_features\dogp,D:\ITMO\senne\competition\data\train_labels\dogp.tif,1.0
D:\ITMO\senne\competition\data\train_features\cdia,D:\ITMO\senne\competition\data\train_labels\cdia.tif,0.555
D:\ITMO\senne\competition\data\train_features\zvhf,D:\ITMO\senne\competition\data\train_labels\zvhf.tif,0.998
D:\ITMO\senne\competition\data\train_features\wahm,D:\ITMO\senne\competition\data\train_labels\wahm.tif,0.949
D:\ITMO\senne\competition\data\train_features\javc,D:\ITMO\senne\competition\data\train_labels\javc.tif,0.626
D:\ITMO\senne\competition\data\train_features\mtdi,D:\ITMO\senne\competition\data\train_labels\mtdi.tif,0.477
D:\ITMO\senne\competition\data\train_features\vhuz,D:\ITMO\senne\competition\data\train_labels\vhuz.tif,0.987
D:\ITMO\senne\competition\data\train_features\clzl,D:\ITMO\senne\competition\data\train_labels\clzl.tif,0.454
D:\ITMO\senne\competition\data\train_features\zefx,D:\ITMO\senne\competition\data\train_labels\zefx.tif,0.328
D:\ITMO\senne\competition\data\train_features\rqef,D:\ITMO\senne\competition\data\train_labels\rqef.tif,1.0
D:\ITMO\senne\competition\data\train_features\wkgf,D:\ITMO\senne\competition\data\train_labels\wkgf.tif,1.0
D:\ITMO\senne\competition\data\train_features\cdiz,D:\ITMO\senne\competition\data\train_labels\cdiz.tif,0.337
D:\ITMO\senne\competition\data\train_features\hwpf,D:\ITMO\senne\competition\data\train_labels\hwpf.tif,0.063
D:\ITMO\senne\competition\data\train_features\hzrq,D:\ITMO\senne\competition\data\train_labels\hzrq.tif,0.99
D:\ITMO\senne\competition\data\train_features\rujf,D:\ITMO\senne\competition\data\train_labels\rujf.tif,1.0
D:\ITMO\senne\competition\data\train_features\uryh,D:\ITMO\senne\competition\data\train_labels\uryh.tif,0.339
D:\ITMO\senne\competition\data\train_features\hrus,D:\ITMO\senne\competition\data\train_labels\hrus.tif,1.0
D:\ITMO\senne\competition\data\train_features\xoln,D:\ITMO\senne\competition\data\train_labels\xoln.tif,0.711
D:\ITMO\senne\competition\data\train_features\xcmn,D:\ITMO\senne\competition\data\train_labels\xcmn.tif,0.192
D:\ITMO\senne\competition\data\train_features\nget,D:\ITMO\senne\competition\data\train_labels\nget.tif,0.828
D:\ITMO\senne\competition\data\train_features\vbel,D:\ITMO\senne\competition\data\train_labels\vbel.tif,0.204
D:\ITMO\senne\competition\data\train_features\exnl,D:\ITMO\senne\competition\data\train_labels\exnl.tif,0.008
D:\ITMO\senne\competition\data\train_features\dnwj,D:\ITMO\senne\competition\data\train_labels\dnwj.tif,0.402
D:\ITMO\senne\competition\data\train_features\lbri,D:\ITMO\senne\competition\data\train_labels\lbri.tif,0.726
D:\ITMO\senne\competition\data\train_features\dlou,D:\ITMO\senne\competition\data\train_labels\dlou.tif,1.0
D:\ITMO\senne\competition\data\train_features\qqcn,D:\ITMO\senne\competition\data\train_labels\qqcn.tif,0.0
D:\ITMO\senne\competition\data\train_features\lpoc,D:\ITMO\senne\competition\data\train_labels\lpoc.tif,0.64
D:\ITMO\senne\competition\data\train_features\wlsn,D:\ITMO\senne\competition\data\train_labels\wlsn.tif,1.0
D:\ITMO\senne\competition\data\train_features\snse,D:\ITMO\senne\competition\data\train_labels\snse.tif,1.0
D:\ITMO\senne\competition\data\train_features\mwom,D:\ITMO\senne\competition\data\train_labels\mwom.tif,0.157
D:\ITMO\senne\competition\data\train_features\veex,D:\ITMO\senne\competition\data\train_labels\veex.tif,0.4
D:\ITMO\senne\competition\data\train_features\cweo,D:\ITMO\senne\competition\data\train_labels\cweo.tif,0.119
D:\ITMO\senne\competition\data\train_features\mtiy,D:\ITMO\senne\competition\data\train_labels\mtiy.tif,0.21
D:\ITMO\senne\competition\data\train_features\euxp,D:\ITMO\senne\competition\data\train_labels\euxp.tif,0.63
D:\ITMO\senne\competition\data\train_features\yxvj,D:\ITMO\senne\competition\data\train_labels\yxvj.tif,0.0
D:\ITMO\senne\competition\data\train_features\yocv,D:\ITMO\senne\competition\data\train_labels\yocv.tif,0.882
D:\ITMO\senne\competition\data\train_features\mrxf,D:\ITMO\senne\competition\data\train_labels\mrxf.tif,0.327
D:\ITMO\senne\competition\data\train_features\speu,D:\ITMO\senne\competition\data\train_labels\speu.tif,0.8
D:\ITMO\senne\competition\data\train_features\sqgm,D:\ITMO\senne\competition\data\train_labels\sqgm.tif,1.0
